env,durchsatz_unten,avg_oben,p95_oben
extreme,4.268,10382.11,19000.0
high,3.188,10637.626,16000.0
low,3.944,1877.5420000000001,4880.0
medium,3.56,5861.056,12000.0
prod,3.796,5463.116,11000.0
